Date,open,high,Low,Close,Volume,
2022-12-30,76200,76900,76000,76900,628600,
2022-12-29,76500,77000,76200,76200,655300,
2022-12-28,77000,77000,76000,76700,589200,
2022-12-27,76400,77500,76000,76500,805200,
2022-12-26,77700,78100,76400,76400,832500,
2022-12-23,76400,78000,76200,78000,1220000,
2022-12-22,77200,77500,76000,77200,657800,
2022-12-21,77200,77400,75700,77200,544100,
2022-12-20,77200,77200,75400,76600,785800,
2022-12-19,78300,78300,76600,76600,1030000,
2022-12-16,77000,78000,76400,77900,910900,
2022-12-15,76400,78100,76400,77700,1170000,
2022-12-14,77200,77500,76100,76300,1160000,
2022-12-13,76200,77300,75200,77200,899700,
2022-12-12,77600,78200,76400,77000,1210000,
2022-12-09,76300,78000,76200,78000,987500,
2022-12-08,76900,78800,75600,77000,1270000,
2022-12-07,75900,76600,74800,76500,1030000,
2022-12-06,78300,78900,76000,76000,1540000,
2022-12-05,78000,79000,77400,78300,1220000,
2022-12-02,74700,77700,74000,77400,2900000,
2022-12-01,75100,75800,74100,74700,1780000,
2022-11-30,74500,74900,73500,74600,911500,
2022-11-29,74900,74900,73000,74300,1140000,
2022-11-28,72400,74500,72300,74300,1150000,
2022-11-25,70600,72000,70500,72000,1270000,
2022-11-24,69800,71000,69400,70500,788400,
2022-11-23,70000,71000,69700,70500,465900,
2022-11-22,70000,72000,69100,70500,1180000,
2022-11-21,69500,71800,69500,70100,840500,
2022-11-18,70100,72000,69200,71500,1260000,
2022-11-17,69300,72000,64500,71000,1550000,
2022-11-16,61300,70000,61300,69300,3050000,
2022-11-15,70000,70000,65900,65900,3110000,
2022-11-14,72000,72400,70000,70800,1640000,
2022-11-11,73100,73600,72000,72800,1000000,
2022-11-10,73500,73700,69100,73000,1600000,
2022-11-09,73300,74300,73300,74000,697700,
2022-11-08,71500,73900,71400,73300,945000,
2022-11-07,72600,74000,72600,72600,1570000,
2022-11-04,74000,74000,71500,72900,1650000,
2022-11-03,74500,75700,73700,74100,622400,
2022-11-02,75200,76000,74000,74000,978200,
2022-11-01,76300,76800,75000,75500,561500,
2022-10-31,75000,76000,73700,75600,1080000,
2022-10-28,76300,76300,74700,75000,875800,
2022-10-27,74100,76200,73700,75800,935900,
2022-10-26,74500,74500,72700,73800,625100,
2022-10-25,71400,74500,71100,73200,1560000,
2022-10-24,73900,74500,71000,71100,1430000,
2022-10-21,77700,77700,73900,73900,1560000,
2022-10-20,75800,78500,75300,77800,1730000,
2022-10-19,74900,76200,74700,75500,1020000,
2022-10-18,74000,75300,74000,74900,879000,
2022-10-17,73500,73900,72600,73800,707400,
2022-10-14,74400,74500,73600,74000,844200,
2022-10-13,72200,73000,71500,73000,829200,
